symbol,yfinance_symbol,name,sector,exchange
MOGA,MOG-A,MOOG INC CLASS A,Industrials,NYSE
BTSG,BTSG,BRIGHTSPRING HEALTH SERVICES INC,Health Care,NASDAQ
HUT,HUT,HUT CORP,Information Technology,NASDAQ
UMBF,UMBF,UMB FINANCIAL CORP,Financials,NASDAQ
CYTK,CYTK,CYTOKINETICS INC,Health Care,NASDAQ
VSAT,VSAT,VIASAT INC,Information Technology,NASDAQ
GKOS,GKOS,GLAUKOS CORP,Health Care,NYSE
KRYS,KRYS,KRYSTAL BIOTECH INC,Health Care,NASDAQ
CTRE,CTRE,CARETRUST REIT INC,Real Estate,NYSE
ONB,ONB,OLD NATIONAL BANCORP,Financials,NASDAQ
EAT,EAT,BRINKER INTERNATIONAL INC,Consumer Discretionary,NYSE
CRNX,CRNX,CRINETICS PHARMACEUTICALS INC,Health Care,NASDAQ
HQY,HQY,HEALTHEQUITY INC,Health Care,NASDAQ
FROG,FROG,JFROG LTD,Information Technology,NASDAQ
PTGX,PTGX,PROTAGONIST THERAPEUTICS INC,Health Care,NASDAQ
SNEX,SNEX,STONEX GROUP INC,Financials,NASDAQ
RHP,RHP,RYMAN HOSPITALITY PROPERTIES REIT,Real Estate,NYSE
FCFS,FCFS,FIRSTCASH HOLDINGS INC,Financials,NASDAQ
ALKS,ALKS,ALKERMES,Health Care,NASDAQ
COMP,COMP,COMPASS INC CLASS A,Real Estate,NYSE
ESE,ESE,ESCO TECHNOLOGIES INC,Industrials,NYSE
AGX,AGX,ARGAN INC,Industrials,NYSE
IDCC,IDCC,INTERDIGITAL INC,Information Technology,NASDAQ
RIOT,RIOT,RIOT PLATFORMS INC,Information Technology,NASDAQ
TGTX,TGTX,TG THERAPEUTICS INC,Health Care,NASDAQ
TRNO,TRNO,TERRENO REALTY REIT CORP,Real Estate,NYSE
PRAX,PRAX,PRAXIS PRECISION MEDICINES INC,Health Care,NASDAQ
CMC,CMC,COMMERCIAL METALS,Materials,NYSE
SM,SM,SM ENERGY,Energy,NYSE
CIFR,CIFR,CIPHER DIGITAL INC,Information Technology,NASDAQ
FSS,FSS,FEDERAL SIGNAL CORP,Industrials,NYSE
SYRE,SYRE,SPYRE THERAPEUTICS INC,Health Care,NASDAQ
OSCR,OSCR,OSCAR HEALTH INC CLASS A,Financials,NYSE
ZWS,ZWS,ZURN ELKAY WATER SOLUTIONS CORP,Industrials,NYSE
JBTM,JBTM,JBT MAREL CORP,Industrials,NYSE
PCVX,PCVX,VAXCYTE INC,Health Care,NASDAQ
JXN,JXN,JACKSON FINANCIAL INC CLASS A,Financials,NYSE
MAC,MAC,MACERICH REIT,Real Estate,NYSE
PBF,PBF,PBF ENERGY INC CLASS A,Energy,NYSE
SLAB,SLAB,SILICON LABORATORIES INC,Information Technology,NASDAQ
FLR,FLR,FLUOR CORP,Industrials,NYSE
ACA,ACA,ARCOSA INC,Industrials,NYSE
VLY,VLY,VALLEY NATIONAL,Financials,NASDAQ
TEX,TEX,TEREX CORP,Industrials,NYSE
EPRT,EPRT,ESSENTIAL PROPERTIES REALTY TRUST,Real Estate,NYSE
ENS,ENS,ENERSYS,Industrials,NYSE
COGT,COGT,COGENT BIOSCIENCES INC,Health Care,NASDAQ
CORZ,CORZ,CORE SCIENTIFIC INC,Information Technology,NASDAQ
NPO,NPO,ENPRO INC,Industrials,NYSE
SWX,SWX,SOUTHWEST GAS HOLDINGS INC,Utilities,NYSE
KYMR,KYMR,KYMERA THERAPEUTICS INC,Health Care,NASDAQ
QBTS,QBTS,D WAVE QUANTUM INC,Information Technology,NASDAQ
UBSI,UBSI,UNITED BANKSHARES INC,Financials,NASDAQ
LNTH,LNTH,LANTHEUS HOLDINGS INC,Health Care,NASDAQ
GBCI,GBCI,GLACIER BANCORP INC,Financials,NYSE
PLXS,PLXS,PLEXUS CORP,Information Technology,NASDAQ
GATX,GATX,GATX CORP,Industrials,NYSE
LTH,LTH,LIFE TIME GROUP HOLDINGS INC,Consumer Discretionary,NYSE
HWC,HWC,HANCOCK WHITNEY CORP,Financials,NASDAQ
LUMN,LUMN,LUMEN TECHNOLOGIES INC,Communication,NYSE
XENE,XENE,XENON PHARMACEUTICALS INC,Health Care,NASDAQ
PTCT,PTCT,PTC THERAPEUTICS INC,Health Care,NASDAQ
VSXY,VSXY,VICTORIA S SECRET,Consumer Discretionary,NYSE
MATX,MATX,MATSON INC,Industrials,NYSE
ENVA,ENVA,ENOVA INTERNATIONAL INC,Financials,NYSE
AROC,AROC,ARCHROCK INC,Energy,NYSE
ESNT,ESNT,ESSENT GROUP LTD,Financials,NYSE
KRG,KRG,KITE REALTY GROUP TRUST REIT,Real Estate,NYSE
LQDA,LQDA,LIQUIDIA CORP,Health Care,NASDAQ
AUB,AUB,ATLANTIC UNION BANKSHARES CORP,Financials,NYSE
ORA,ORA,ORMAT TECH INC,Utilities,NYSE
NJR,NJR,NEW JERSEY RESOURCES CORP,Utilities,NYSE
APGE,APGE,APOGEE THERAPEUTICS INC,Health Care,NASDAQ
HOMB,HOMB,HOME BANCSHARES INC,Financials,NYSE
POR,POR,PORTLAND GENERAL ELECTRIC,Utilities,NYSE
ACIW,ACIW,ACI WORLDWIDE INC,Information Technology,NASDAQ
TXNM,TXNM,TXNM ENERGY INC,Utilities,NYSE
LGND,LGND,LIGAND PHARMACEUTICALS INC,Health Care,NASDAQ
TXG,TXG,10X GENOMICS INC CLASS A,Health Care,NASDAQ
SSRM,SSRM,SSR MINING INC,Materials,NASDAQ
KGS,KGS,KODIAK GAS SERVICES INC,Energy,NYSE
SIGI,SIGI,SELECTIVE INSURANCE GROUP INC,Financials,NASDAQ
HIMS,HIMS,HIMS HERS HEALTH INC CLASS A,Health Care,NYSE
MGY,MGY,MAGNOLIA OIL GAS CORP CLASS A,Energy,NYSE
ABCB,ABCB,AMERIS BANCORP,Financials,NYSE
RYTM,RYTM,RHYTHM PHARMACEUTICALS INC,Health Care,NASDAQ
DFTX,DFTX,DEFINIUM THERAPEUTICS INC,Health Care,NASDAQ
MXL,MXL,MAXLINEAR INC,Information Technology,NASDAQ
CWST,CWST,CASELLA WASTE SYSTEMS INC CLASS A,Industrials,NASDAQ
TWST,TWST,TWIST BIOSCIENCE CORP,Health Care,NASDAQ
BKH,BKH,BLACK HILLS CORP,Utilities,NYSE
PRM,PRM,PERIMETER SOLUTIONS INC,Materials,NYSE
AIR,AIR,AAR CORP,Industrials,NYSE
PECO,PECO,PHILLIPS EDISON AND COMPANY INC,Real Estate,NASDAQ
SBRA,SBRA,SABRA HEALTH CARE REIT INC,Real Estate,NASDAQ
GTX,GTX,GARRETT MOTION,Consumer Discretionary,NASDAQ
SRRK,SRRK,SCHOLAR ROCK HOLDING CORP,Health Care,NASDAQ
PIPR,PIPR,PIPER SANDLER COMPANIES,Financials,NYSE
VSEC,VSEC,VSE CORP,Industrials,NASDAQ
MRCY,MRCY,MERCURY SYSTEMS INC,Industrials,NASDAQ
BIPC,BIPC,BROOKFIELD INFRASTRUCTURE CORP CLA,Utilities,NYSE
CGON,CGON,CG ONCOLOGY INC,Health Care,NASDAQ
IBP,IBP,INSTALLED BUILDING PRODUCTS INC,Consumer Discretionary,NYSE
RDN,RDN,RADIAN GROUP INC,Financials,NYSE
YOU,YOU,CLEAR SECURE INC CLASS A,Information Technology,NYSE
NE,NE,NOBLE CORPORATION PLC,Energy,NYSE
MIRM,MIRM,MIRUM PHARMACEUTICALS INC,Health Care,NASDAQ
MUR,MUR,MURPHY OIL CORP,Energy,NYSE
SXT,SXT,SENSIENT TECHNOLOGIES CORP,Materials,NYSE
DNTH,DNTH,DIANTHUS THERAPEUTICS INC,Health Care,NASDAQ
BCPC,BCPC,BALCHEM CORP,Materials,NASDAQ
